epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.5931,1.55182,4.41284,1.614,0.46361,0.13019,0.09849,0.0537,1.6688,3.6837,1.78585,0.0920412,4.12487e-05,4.12487e-05
2,36.1976,1.32232,2.56736,1.44676,0.40209,0.14421,0.17022,0.09244,1.8166,3.77166,2.13026,0.0830859,8.59009e-05,8.59009e-05
3,53.6044,1.20279,2.05963,1.40304,0.3693,0.36021,0.28367,0.18409,1.36854,5.30321,1.53625,0.0741287,0.000128697,0.000128697
4,71.4098,1.17318,1.69604,1.3707,0.42711,0.41315,0.32463,0.20637,1.65976,6.57861,2.08277,0.0651696,0.000169638,0.000169638
5,89.0346,1.20859,1.64208,1.39228,0.72699,0.26252,0.38926,0.27019,1.36996,2.94717,1.59036,0.0562087,0.000208723,0.000208723
6,105.31,1.30723,1.68811,1.42522,0.58371,0.59875,0.57835,0.39707,1.24068,3.0505,1.47141,0.047246,0.000245952,0.000245952
7,122.264,1.21956,1.57376,1.37712,0.83584,0.55636,0.70586,0.51705,1.13323,1.781,1.41522,0.0382813,0.000281326,0.000281326
8,139.483,1.17413,1.48417,1.35748,0.60473,0.61139,0.63326,0.4499,1.22528,2.27016,1.4262,0.0293148,0.000314844,0.000314844
9,156.06,1.195,1.4622,1.34746,0.47454,0.63954,0.60541,0.38234,1.35007,2.43229,1.62378,0.0203465,0.000346506,0.000346506
10,172.979,1.19606,1.37562,1.32213,0.65348,0.48255,0.5616,0.36236,1.34132,2.26485,1.57814,0.0113763,0.000376312,0.000376312
11,190.082,1.23946,1.37002,1.38487,0.60485,0.54941,0.57161,0.39413,1.25363,1.74603,1.44733,0.00240426,0.000404263,0.000404263
12,209.035,1.14984,1.21454,1.28815,0.80851,0.48006,0.63293,0.43606,1.25172,1.91016,1.48229,0.000402203,0.000402203,0.000402203
13,226.364,1.1425,1.21232,1.31571,0.68135,0.67044,0.73232,0.52388,1.2209,1.63363,1.42229,0.000391894,0.000391894,0.000391894
