epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.1358,0.96457,0.85749,1.36608,0.9093,0.8316,0.91806,0.67219,1.0762,0.77667,1.44333,0.0910026,2.63865e-06,2.63865e-06
2,136.93,0.91793,0.82215,1.30235,0.90046,0.84042,0.92673,0.70542,1.04126,0.75258,1.45368,0.0810054,5.38515e-06,5.38515e-06
3,204.521,0.96442,0.87916,1.38052,0.90781,0.8445,0.93484,0.72224,1.03906,0.75501,1.4185,0.0710079,7.93654e-06,7.93654e-06
4,278.053,0.90558,0.80219,1.2879,0.9021,0.88545,0.9402,0.73872,0.9527,0.63309,1.33153,0.0610103,1.02928e-05,1.02928e-05
5,359.565,0.91261,0.8091,1.30686,0.93511,0.85335,0.94238,0.74532,0.93675,0.63672,1.32607,0.0510125,1.2454e-05,1.2454e-05
6,448.178,0.82499,0.72816,1.24828,0.9279,0.877,0.94601,0.74393,0.95999,0.63191,1.34528,0.0410144,1.44201e-05,1.44201e-05
7,539.234,0.85883,0.71494,1.25707,0.91126,0.87295,0.94612,0.7534,0.94216,0.62123,1.34515,0.0310162,1.61911e-05,1.61911e-05
8,622.072,0.81682,0.69127,1.23918,0.96802,0.82981,0.94696,0.75384,0.91059,0.61237,1.32579,0.0210178,1.7767e-05,1.7767e-05
9,726.853,0.83237,0.71035,1.25379,0.93069,0.85947,0.9492,0.76257,0.8928,0.59642,1.3071,0.0110191,1.91478e-05,1.91478e-05
10,832.738,0.79176,0.66955,1.19909,0.9356,0.86525,0.94832,0.76744,0.87861,0.58793,1.29159,0.00102033,2.03335e-05,2.03335e-05
11,936.146,0.83919,0.70073,1.24132,0.93444,0.86397,0.94801,0.76588,0.88116,0.58281,1.28653,1.95634e-05,1.95634e-05,1.95634e-05
12,1051.22,0.83377,0.73701,1.2653,0.94353,0.84407,0.94426,0.765,0.87831,0.5791,1.27729,1.85879e-05,1.85879e-05,1.85879e-05
13,1162.23,0.82041,0.70014,1.24786,0.94353,0.85182,0.9438,0.76091,0.87657,0.58419,1.27214,1.76124e-05,1.76124e-05,1.76124e-05
14,1271.41,0.81635,0.69758,1.2483,0.94314,0.84678,0.94084,0.76624,0.87662,0.57747,1.26714,1.66369e-05,1.66369e-05,1.66369e-05
15,1387.54,0.81439,0.68141,1.20706,0.94319,0.84322,0.94265,0.76478,0.87015,0.57351,1.26379,1.56614e-05,1.56614e-05,1.56614e-05
